# Filename: 3Dvlt_macro_cp_Tv_Op19_P22.533_DK05e-07_lmax100_dl0.0001.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 10 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, R=8.31447
# Parameter values: OpA=1, OpB=9, A3=41.3417022403997549418, THETA=0.6, N=3, lmax=100, lsteps=1000000, (dl=0.0001), lpts=1000001, DK0=5e-07, a0factor=548.4207880890000, KstarA=4.14677, Kthresh=4.14677
# Parameter values: Tc0=2.17349425585161, Tc1=-0.00982499579394534, Tc2=-0.000118194448444384, Tc3=-4.36914591522034e-07, Tc4=7.39407378262721e-09
# Parameter values: rho00=145.145109496329, rho10=-0.09765396930591511, rho20=0.334163407001684, rho30=-0.446930785976304, rho40=0.181879478545246, rho01=1.74477604495583, rho11=-0.09195389931790519, rho21=0.179844560873926, rho31=-0.133606331352667, rho41=0.0410225514249919, rho02=-0.0491655379690169, rho12=0.00710698898070406, rho22=-0.008230542254959171, rho32=0.000609542602247143, rho42=0.00114916775392305, rho03=0.0013415037643754, rho13=-0.000362007479155809, rho23=0.000358809384119286, rho33=6.481839543575269e-05, rho43=-0.000104112551302631, rho04=-1.69907294147191e-05, rho14=5.53820368251513e-06, rho24=-3.15773411117433e-06, rho34=-4.99967306908062e-06, rho44=3.41331223468399e-06
# Parameter values: P=22.533, Cc=0.580647816546116, K0c=0.448321705446756, Tc=1.889
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a	cp	cp01	cp02	cp03	cp04	cp05	cp06	cp07
21	1000000	0.99999899999999997	9.9999999999999995e-07	100.00000000219612	2.0560683909544824e+39	                0	-0.073012897527245754	4.5861405100545035e+39	0.00017060791096642206	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017300081414861	1.0068716705444134	0.026227883498924427	-0.59861556101843694	13.713921732300797
22	1000000	0.99999874107458819	1.2589254117941661e-06	100.00000000219612	2.3999736530853254e+39	                0	-0.073012800391356353	5.3532331862137164e+39	0.00019914434126336693	                0	2.6881171477195552e+43	                1	214.41660299112141	196.47978090291647	2.5867050032788597	1.201726772885177	1.0068687985075382	0.026227770180872911	-0.59861397452716059	13.713907717879662
23	1000000	0.99999841510680754	1.5848931924611141e-06	100.00000000219612	2.8014018680633242e+39	                0	-0.073012678105570633	6.2486321632564249e+39	0.00023245386342471744	                0	2.6881171477195552e+43	                1	210.39935455824866	192.46258661144068	2.5866743389481615	1.2017226999647455	1.0068651828501891	0.02622762752286335	-0.59861197725793647	13.713890074779949
24	1000000	0.99999800473768508	1.9952623149688829e-06	100.00000000219612	3.2699746039176896e+39	                0	-0.073012524158523093	7.2937982697091197e+39	0.00027133483657498932	                0	2.6881171477195552e+43	                1	206.59254376641655	188.65584323568831	2.5866364786560814	1.2017175725022762	1.0068606310430201	0.026227447928587	-0.59860946285281025	13.713867863451062
25	1000000	0.99999748811356848	2.5118864315095823e-06	100.00000000219612	3.8169228360684305e+39	                0	-0.073012330353215985	8.5137819606306222e+39	0.00031671915667266315	                0	2.6881171477195552e+43	                1	202.93839804459486	185.00178154189791	2.5865896590195412	 1.20171111747295	1.0068549007132797	0.026227221835175292	-0.59860629741674964	13.713839901072761
26	1000000	0.99999683772233983	3.1622776601683792e-06	100.00000000219612	4.4553561166948879e+39	                0	-0.073012086370736085	9.9378236063364098e+39	0.00036969458770675566	                0	2.6881171477195552e+43	                1	199.37729941219072	181.44078767376701	2.5865317371247354	1.2017029911717116	1.0068476867431109	0.026226937204186389	-0.59860231238858541	13.713804698568534
27	1000000	0.99999601892829448	3.9810717055349691e-06	100.00000000219612	5.2005768651656877e+39	                0	-0.073011779221128961	1.1600054376385549e+40	0.00043153083511358019	                0	2.6881171477195552e+43	                1	195.82286536693124	177.88648426582296	2.5864600705323535	1.201692760919884	1.0068386050298828	0.026226578880906043	-0.59859729556663066	13.713760381311882
28	1000000	0.99999498812766374	5.011872336272725e-06	100.00000000219612	6.0704471736150311e+39	                0	-0.073011392552200544	1.3540314188579277e+40	0.0005037099741008722	                0	2.6881171477195552e+43	                1	192.21381733258792	174.27759913695402	2.5863714042712305	1.2016798820385921	1.0068271720447948	0.0262261277879062	-0.59859097981154863	13.713704589302894
29	1000000	0.99999369042655517	6.3095734448019432e-06	100.00000000219612	7.0858170309374636e+39	                0	-0.073010905779619925	1.580510654819503e+40	0.00058796197039266609	                0	2.6881171477195552e+43	                1	188.68823048612725	170.75221543860854	2.5862617169604429	1.2016636688669724	1.0068127791047716	0.026225559910061643	-0.59858302882552661	13.713634351501939
30	1000000	0.99999205671765279	7.9432823472428217e-06	100.00000000219612	8.2710241841407808e+39	                0	-0.073010292992137307	1.8448713021419091e+40	0.00068630613948763067	                0	2.6881171477195552e+43	                1	185.1058249258397	167.17006317486741	2.5861260792993548	1.2016432582860954	1.0067946599915121	0.026224845017164215	-0.59857301925166173	13.713545927629847
