# Filename: 3Dvlt_macro_Tv_Op42_Kth4.147_Cc1.05_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=4, OpB=2, A3=41.3417022403997549418, THETA=0.6, N=3, Cc=1.05, K0c=0.30537942360817, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, a0=1, a03=1, a06=1
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
32	930771	0.99998741074588204	1.2589254117941661e-05	9.3077099998167991	4.1467712556269731	4.634343116422738e-06	-0.052572459895679248	13.578907844788141	0.0012319065060202843	2.5838400903757135e-30	11022.677271715416	                1
33	915305	0.99998415106807537	1.5848931924611141e-05	9.1530499998226542	4.1467853773214225	4.6343430704261588e-06	-0.052571474706893093	13.578909823744016	0.0014379566603309542	6.535420491369279e-30	9443.1982537072781	                1
34	899839	0.99998004737685031	1.995262314968883e-05	8.9983899998285093	4.1468010545864162	4.6343430037015754e-06	-0.052570234528556553	13.578905435188434	0.0016784702225995697	1.6530326689745836e-29	8090.0484574327375	                1
35	884372	0.99997488113568489	2.5118864315095822e-05	8.8437199998343647	4.146777253533469	4.6343428998492747e-06	-0.052568673392531289	13.578757344564416	0.0019592110972228723	4.1813391232472845e-29	6930.7270481531714	                1
36	868906	0.99996837722339826	3.1622776601683795e-05	8.6890599998402198	4.1467973483441298	4.6343427533193562e-06	-0.052566708279856579	13.578734827984087	0.0022869069610864643	1.0576044893961344e-28	5937.5982753286562	                1
37	853439	0.99996018928294461	3.9810717055349695e-05	8.5343899998460753	4.1467791076483005	4.6343425329147011e-06	-0.052564234722024886	13.578563913720121	0.0026694104574550856	2.6752060018028418e-28	5086.7276239958273	                1
38	837973	0.99994988127663731	5.0118723362727251e-05	8.3797299998519303	4.1468062012092259	4.6343422155105679e-06	-0.052561121272057504	13.578512656755979	0.0031158870243470521	6.7665159171508592e-28	4357.8321520182253	                1
39	822506	0.99993690426555193	6.3095734448019429e-05	8.2250599998577858	4.1467967664905228	4.6343417421941449e-06	-0.052557202557254726	13.578305546294157	0.0036370343763118492	1.711587194123373e-27	3733.3453966589386	                1
40	807039	0.99992056717652755	7.9432823472428221e-05	8.0703899998636413	4.1467935060784109	4.6343410486107129e-06	-0.052552270553519624	13.578073026564343	0.0042453382275690361	4.3294519952627289e-27	3198.3489415257768	                1
41	791572	0.99990000000000001	           0.0001	7.9157199998694967	4.1467980135151929	4.6343400307191441e-06	-0.052546063631393768	13.577808500398598	0.0049553708631376626	1.0951328294542519e-26	2740.0186333987813	                1
42	776104	0.99987410745882055	0.00012589254117941688	7.7610399998753525	4.1467708587731646	4.6343385314675147e-06	-0.052538252813246582	13.577367991145593	0.0057841392949225939	2.7702992249279859e-26	2347.3445743369311	                1
43	760637	0.99984151068075389	0.00015848931924611142	7.606369999881208	4.1467974322629519	4.6343363341991778e-06	-0.052528424544163704	13.577012361123373	0.0067514910322960609	7.007456971174575e-26	2010.9650292323759	                1
44	745169	0.99980047376850312	0.00019952623149688788	7.4516899998870638	4.146798032748956	4.6343331018060412e-06	-0.052516059111441638	13.576457080108838	0.0078805876401020093	1.7726384264891874e-25	1722.7721713317692	                1
45	729700	0.99974881135684901	0.00025118864315095823	 7.29699999989292	4.1467766432889777	4.6343283491701825e-06	-0.05250050364253251	13.575685522970446	0.0091984559878599374	4.4844149791058617e-25	1475.8656823370734	                1
46	714231	0.99968377223398319	0.00031622776601683794	7.1423099998987762	4.1467797032061453	4.634321368170635e-06	-0.052480938363190503	13.574812367330448	0.010736630679622003	1.1344653108403403e-24	1264.3456566961254	                1
47	698761	0.99960189282944645	0.00039810717055349773	6.9876099999046328	4.146772065030544	4.6343111080875653e-06	-0.052456334499148459	13.573675516053665	0.012531902240371222	2.870135479885075e-24	1083.1297001604748	                1
48	683291	0.99949881276637276	0.00050118723362727253	6.8329099999104894	4.1468030592674943	4.6342960330827155e-06	-0.052425401850432769	13.572377226803209	0.01462718699556158	7.2612789790930876e-24	927.88703876702743	                1
49	667819	0.99936904265551985	0.00063095734448019429	6.6781899999163468	4.1467997285113576	4.6342738719565556e-06	-0.052386523652524837	13.570604154666059	0.017072539120218475	1.8372797963751291e-23	794.87907798054562	                1
50	652345	0.99920567176527575	0.00079432823472428218	6.5234499999222049	4.146774512017454	4.6342412988846811e-06	-0.052337675862431481	13.568303204527576	0.019926324662321641	4.6493111899060426e-23	680.92352375366329	                1
51	636870	            0.999	            0.001	6.3686999999280633	4.146784447697307	4.6341934270323266e-06	-0.052276327475203326	13.565542872217186	0.023256583295125904	1.1765938003495304e-22	583.29904698684788	                1
52	621393	0.99874107458820582	0.0012589254117941688	6.2139299999339226	4.1468076624888992	4.6341230630389421e-06	-0.052199317903937274	13.562102816261785	0.027142604752861305	2.9779301257543272e-22	499.66106568427631	                1
53	605912	0.99841510680753887	0.0015848931924611141	6.0591199999397833	4.1467857976645828	4.6340196202343897e-06	-0.052102706876360691	13.557604949819867	0.031676748306404372	7.5388235970890844e-22	427.99863226740365	                1
54	590428	0.99800473768503106	0.0019952623149688828	5.9042799999456452	4.1467909824197511	4.6338675531048162e-06	-0.051981591773636676	13.552049439829215	0.036966535783041231	1.9088257058464808e-21	366.60317643414004	                1
55	574939	0.99748811356849043	0.002511886431509582	5.749389999951509	4.1467787573722763	4.6336439724219518e-06	-0.051829886961007807	13.544994195104938	0.043137052993414297	4.8345110124666503e-21	313.99906241098205	                1
56	559445	0.99683772233983159	0.0031622776601683794	5.5944499999573747	4.1467971538756032	4.6333152121004309e-06	-0.051640059594148045	13.536222516349182	0.050333684281825039	1.2247833149259505e-20	268.92969806378687	                1
57	543943	0.99601892829446503	0.0039810717055349778	5.4394299999632434	4.1467818817685487	4.6328317072557733e-06	-0.051402816870623605	13.525054166876449	0.05872521012682929	3.1042731044252335e-20	230.31086883582509	                1
58	528432	0.99498812766372724	0.0050118723362727246	5.2843199999691155	4.1467664311615327	4.6321204953171931e-06	-0.051106741097653556	13.511006466808389	0.0685072737747556	7.8717945116307867e-20	 197.220028215268	                1
59	512911	0.99369042655519801	0.0063095734448019424	5.1291099999749914	4.1468028261426912	4.631074098185725e-06	-0.050737871791461997	13.49350332927861	0.079906213343907684	1.9971777059219012e-19	168.86675972497952	                1
60	497375	0.99205671765275716	0.0079432823472428207	4.973749999980873	4.1468003698598874	4.6295341092942172e-06	-0.050279239064751277	13.471310918979585	0.093183212871859517	5.0711237892717474e-19	144.56800215189617	                1
