# Filename: 3Dvlt_macro_cp_P07.270_DK05e-07_T_Op7.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 9 (2011 Dec 14 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# Parameter values: P=7.27, Cc=0.907367789194129, K0c=0.335274865837589, Tc=2.09567
# Option values: Op=7
# T/Tc	1-T/Tc	l	Kr	K	y	e	amax	Kr/K0	K/K0	G	cp
            0.984	            0.016	 4.65700000000249	0.0474783536737366	 5.00040353441638	6.73821499483246e-06	-0.05284181563259	 257.961088580934	0.139344474564902	 14.6757111230915	9.26786937297775e-21	 60.3477894114935
            0.985	            0.015	 4.70080000000238	0.0454409475775499	 5.00010218184806	6.73784970858795e-06	-0.0531226541318351	 269.491632987759	 0.13350041391283	 14.6897401235741	7.1286919714556e-21	 61.6110757301001
            0.986	            0.014	 4.74770000000227	0.043361023704322	 5.00033888576259	6.74054903177482e-06	-0.0534054195076132	 282.411608288872	0.127519160333277	 14.7053496809099	5.38468439640245e-21	  62.979046036275
            0.987	            0.013	 4.79800000000216	0.0412343756474789	  5.0003954027934	6.74213744057317e-06	-0.0536901599644439	  296.95884336976	0.121387950338563	 14.7204302065036	3.98455906937854e-21	 64.4617878283892
            0.988	            0.012	 4.85220000000203	0.0390560205500454	  5.0000192420619	6.74114453292636e-06	-0.0539769277074194	 313.475489855163	0.115091682184542	 14.7342360388868	2.87920339931611e-21	 66.0226300797189
            0.989	            0.011	 4.91120000000189	0.0368199744458702	 5.00023645740021	6.74353514078252e-06	-0.0542657795986937	 332.502862749158	0.108612241588684	 14.7497899790804	2.02243949664017e-21	 67.7473641651655
             0.99	             0.01	 4.97570000000174	0.0345189826992377	 5.00008102301579	6.74369028488706e-06	-0.0545567779873508	 354.630158381814	0.101927690842174	 14.7642448544995	1.37405420727083e-21	 69.6342112950779
            0.991	0.00900000000000001	 5.04700000000158	0.032144041143333	 5.00016948600445	6.74519362391173e-06	-0.054849991779443	  380.81057820816	0.0950108344491108	 14.7794197106047	8.96397515439478e-22	 71.7311841996493
            0.992	0.00800000000000001	 5.12660000000139	0.0296837654019348	 5.00003542752276	6.74532998739882e-06	-0.0551454978505705	 412.331812802704	0.0878273270057275	 14.7939367053696	5.56265833882358e-22	 74.0478017314399
            0.993	0.00700000000000001	 5.21680000000118	0.027123347661481	 5.00000851442906	6.74601440947421e-06	-0.0554433829646505	 451.219709697582	0.0803325479247155	 14.8087702381877	3.23950861914445e-22	 76.6946635108914
            0.994	0.00600000000000001	 5.32090000000094	0.0244428831144514	 5.00022952011916	6.74806317180945e-06	-0.0557437464737625	 500.686440778466	0.0724665887347906	 14.8243386231227	1.73597874568251e-22	 79.7543692256772
            0.995	            0.005	 5.44390000000065	0.0216144179778882	 5.00033700921944	6.74936971841069e-06	-0.0560467042910073	  566.17621533647	0.064145416430997	 14.8395714416107	8.30450476383723e-23	 83.3440106411165
            0.996	            0.004	  5.5943000000003	0.0185962822526463	 5.00034246390156	6.74999548469616e-06	-0.056352395091648	 658.016731369454	0.0552439177847825	 14.8545017879703	3.37009473275518e-23	 87.7195850206441
            0.997	            0.003	 5.78799999999985	0.015320812142696	 5.00009491798242	6.74905515291035e-06	-0.0566609908146743	 798.595867993487	0.0455591852019924	 14.8686798241635	1.054486126884e-23	 93.3592830430959
            0.998	            0.002	 6.06089999999921	0.0116621434092578	 5.00027399974872	6.75049624730047e-06	-0.0569727167485626	 1049.09099498919	0.0347142607703771	 14.8841263101618	2.05218727704319e-24	 101.292136091959
            0.999	            0.001	 6.52699999999813	0.00731736150705751	 5.00028311662477	6.75083096548425e-06	-0.0572878988225453	 1671.87886765661	0.0218031379336724	 14.8990674294324	1.25281986039537e-25	 114.774267792369
