# Filename: 3Dvlt_macro_cp_Tv_Op42_Kth4.147_P01.646_DK05e-07_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 10 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, R=8.31447
# Parameter values: OpA=4, OpB=2, A3=41.3417022403997549418, THETA=0.6, N=3, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, DK0=5e-07, a0factor=548.4207880890000, KstarA=4.14677, Kthresh=4.14677
# Parameter values: Tc0=2.17349425585161, Tc1=-0.00982499579394534, Tc2=-0.000118194448444384, Tc3=-4.36914591522034e-07, Tc4=7.39407378262721e-09
# Parameter values: rho00=145.145109496329, rho10=-0.09765396930591511, rho20=0.334163407001684, rho30=-0.446930785976304, rho40=0.181879478545246, rho01=1.74477604495583, rho11=-0.09195389931790519, rho21=0.179844560873926, rho31=-0.133606331352667, rho41=0.0410225514249919, rho02=-0.0491655379690169, rho12=0.00710698898070406, rho22=-0.008230542254959171, rho32=0.000609542602247143, rho42=0.00114916775392305, rho03=0.0013415037643754, rho13=-0.000362007479155809, rho23=0.000358809384119286, rho33=6.481839543575269e-05, rho43=-0.000104112551302631, rho04=-1.69907294147191e-05, rho14=5.53820368251513e-06, rho24=-3.15773411117433e-06, rho34=-4.99967306908062e-06, rho44=3.41331223468399e-06
# Parameter values: P=1.646, Cc=1.0577252739907, K0c=0.303956391790806, Tc=2.157
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a	cp
25	1039188	0.99999748811356848	2.5118864315095823e-06	10.391879999775755	4.1468078224558624	4.6343432135297638e-06	-0.052324807340576894	13.642737965515586	0.00041856739695855729	3.8651944824891837e-33	32593.885870347338	                1	228.5949521648042
26	1023721	0.99999683772233983	3.1622776601683792e-06	10.23720999978161	4.1467756942474976	4.6343432062233432e-06	-0.052324611365126353	13.642623392652037	0.00048857819139611406	9.7769932492071772e-33	27923.111659298978	                1	224.15302756846805
27	1008255	0.99999601892829448	3.9810717055349691e-06	10.082549999787465	4.1467853080076633	4.634343202150575e-06	-0.052324364651309262	13.642643850740154	0.00057029913562335762	2.4729379670546069e-32	23921.908694159691	                1	219.94338625408295
28	992789	0.99999498812766374	5.011872336272725e-06	9.9278899997933205	4.146795306399139	4.634343196367488e-06	-0.052324054064256866	13.642662681837667	0.00066568887238946427	6.2549109227820721e-32	20494.052473594551	                1	215.71607152786373
29	977323	0.99999369042655517	6.3095734448019432e-06	9.7732299997991756	4.1468057918415084	4.6343431879012336e-06	-0.052323663069568163	13.642679473967995	0.0007770336318469013	1.5820821690843002e-31	17557.386083201105	                1	211.50277471871181
30	961856	0.99999205671765279	7.9432823472428217e-06	9.6185599998050311	4.1467754581385305	4.6343431691542075e-06	-0.052323170853858722	13.642557390219901	0.00090700202699906917	4.0018702082699428e-31	15041.374753436909	                1	207.27142883631132
31	946390	0.99999000000000005	1.0000000000000001e-05	9.4638999998108861	4.1467873324396445	4.6343431478963198e-06	-0.052322551218030651	13.642568396522693	0.0010587089697241146	1.0122106549843556e-30	12886.042138735977	                1	203.09217886247026
32	930924	0.99998741074588204	1.2589254117941661e-05	9.3092399998167412	4.1468001766849953	4.634343117105771e-06	-0.052321771184648355	13.642575328429807	0.0012357903449594469	2.5602289795382735e-30	11039.554876015392	                1	198.90507881079139
33	915457	0.99998415106807537	1.5848931924611141e-05	9.1545699998225967	4.1467728109708109	4.63434306652874e-06	-0.05232078924570225	13.642440827185299	0.0014424901080041168	6.476088416522272e-30	9457.5628293642094	                1	194.66094959555647
34	899991	0.99998004737685031	1.995262314968883e-05	8.9999099998284517	4.1467884193919566	4.6343429973549312e-06	-0.052319553158277125	13.642436191765491	0.001683761909732471	1.6380255452818843e-29	8102.3546814484625	                1	190.3013437749598
35	884525	0.99997488113568489	2.5118864315095822e-05	8.8452499998343068	4.1468059658454655	4.6343428967760139e-06	-0.052317997171780088	13.642423435671592	0.0019653878146996995	4.1431300751980569e-29	6941.3391767446556	                1	186.21010456745091
36	869058	0.99996837722339826	3.1622776601683795e-05	8.6905799998401623	4.146784517799623	4.6343427419086959e-06	-0.052316038541032145	13.642264143644265	0.0022941167492431056	1.0480029832787938e-28	5946.6302872969463	                1	181.97871485531692
37	853592	0.99996018928294461	3.9810717055349695e-05	8.5359199998460173	4.1468075748582756	4.6343425222960428e-06	-0.052313573142003696	13.642228291514598	0.0026778260305070174	2.6507599835063895e-28	5094.5162740581736	                1	 177.638509586015
38	838125	0.99994988127663731	5.0118723362727251e-05	8.3812499998518728	4.1467930607043924	4.6343421920846817e-06	-0.052310469961111133	13.642039913356957	0.0031257100523442347	6.7050858050358523e-28	4364.4610936083582	                1	173.41653799076585
39	822658	0.99993690426555193	6.3095734448019429e-05	8.2265799998577283	4.1467834084938264	4.6343417093975535e-06	-0.052306564170868736	13.641831118336407	0.0036485001624250841	1.6960484711347173e-27	3739.0243966082103	                1	169.12315648968504
40	807191	0.99992056717652755	7.9432823472428221e-05	8.0719099998635837	4.1467798735900301	4.6343410013591282e-06	-0.052301648432910235	13.641596607746587	0.0042587214155553419	4.2901468530055773e-27	3203.2141285221182	                1	164.78088413559706
41	791724	0.99990000000000001	           0.0001	7.9172399998694392	4.1467840360208701	4.6343399615920509e-06	-0.052295461980090413	13.641329709134567	0.0049709919751768162	1.0851906072338384e-26	2744.186628595261	                1	160.46601777557436
42	776257	0.99987410745882055	0.00012589254117941688	7.7625699998752946	4.1467978807653854	4.6343384348412766e-06	-0.05228767691889611	13.641022007841302	0.005802372327893982	2.7449841943180517e-26	2350.9387603867226	                1	156.09748559663973
43	760789	0.99984151068075389	0.00015848931924611142	7.6078899998811504	4.146782470439808	4.6343361868754624e-06	  -0.052277881057	13.640526607390846	0.0067727725537340116	6.9438392794703571e-26	2014.0240203209628	                1	151.73736366187921
44	745321	0.99980047376850312	0.00019952623149688788	7.4532099998870063	4.1467823792540059	4.6343328860374328e-06	-0.052265556393680905	13.63996645363008	0.0079054268928676358	1.7565453777305399e-25	1725.3927761872305	                1	147.43376536793687
45	729853	0.99974881135684901	0.00025118864315095823	7.2985299998928621	4.146801551858565	4.6343280376611598e-06	-0.052250052206525434	13.639324700421504	0.0092274470858854998	4.4434361302465449e-25	1478.1254851392762	                1	143.01464733691003
46	714384	0.99968377223398319	0.00031622776601683794	7.1438399998987183	4.1468035108780326	4.6343209092454915e-06	-0.052230551420369351	13.638443830853069	0.010770466837648995	1.1240984640885846e-24	1266.2815861591848	                1	138.60939779788728
47	698914	0.99960189282944645	0.00039810717055349773	6.9891399999045749	4.1467944834274597	4.6343104311610244e-06	-0.052206028647208989	13.637297081949953	0.012571391929364455	2.8439077881598442e-24	1084.7881569976146	                1	134.25249066598892
48	683443	0.99949881276637276	0.00050118723362727253	6.8344299999104319	4.1467822891820392	4.6342950327991565e-06	-0.052175197932577196	13.63585069035366	0.014673273116901728	7.1953556220763677e-24	929.29849950430696	                1	129.7729426259514
49	667971	0.99936904265551985	0.00063095734448019429	6.6797099999162892	4.1467767439174326	4.6342724034860137e-06	-0.052136447830439456	13.634062045081459	0.017126320707108074	1.8205994033088053e-23	796.08821288876175	                1	125.37086195061082
50	652498	0.99920567176527575	0.00079432823472428218	6.5249799999221469	4.1467901642616525	4.6342391458010209e-06	-0.052087760954142442	13.63187734707158	0.019989082543360737	4.6068236790501729e-23	681.96613413852413	                1	120.83354503259586
51	637023	            0.999	            0.001	6.3702299999280054	4.1467965628067969	4.6341902625200783e-06	-0.052026614620186977	13.629092455785941	0.023329809912538708	1.1658412989870712e-22	584.19217759939511	                1	116.35349161825656
52	621545	0.99874107458820582	0.0012589254117941688	6.215449999933865	4.1467738682245132	4.6341184061941318e-06	-0.051949858631174489	13.625485435013356	0.027228037891465908	2.9508919057924196e-22	500.42112800511416	                1	111.86103469240965
53	606065	0.99841510680753887	0.0015848931924611141	6.0606499999397254	4.1467877743132453	4.6340127826637393e-06	-0.051853565666610597	13.621084045005389	0.031776409305416413	7.4699228620365897e-22	428.65397138132982	                1	107.45763963954593
54	590581	0.99800473768503106	0.0019952623149688828	5.9058099999455873	4.1467857831969805	4.6338575033829143e-06	-0.051732849225039637	13.615478962007797	0.03708277527636742	1.8913787690297309e-21	367.16450860367081	                1	102.86837310037916
55	575093	0.99748811356849043	0.002511886431509582	5.7509299999514507	4.1468058934380494	4.6336292068921174e-06	-0.051581643687223407	13.608496809723396	0.04327260008034043	4.7900306120849147e-21	314.48299349837305	                1	98.296719050887944
56	559598	0.99683772233983159	0.0031622776601683794	5.5959799999573168	4.1467713037216125	4.63329350354698e-06	-0.051392441006417738	13.599510236030707	0.050491704681799664	1.2135855681917119e-20	269.34147543116745	                1	93.77187040246092
57	544097	0.99601892829446503	0.0039810717055349778	5.4409699999631851	4.1467827858600668	4.6327998047208137e-06	-0.051155979018786372	13.588377338960143	0.058909366332858648	3.0757005514337006e-20	230.66582081669375	                1	89.234977460077545
58	528587	0.99498812766372724	0.0050118723362727246	5.2858699999690568	4.1467900876408494	4.6320736072206832e-06	-0.050860877769065921	13.57433834770595	0.068721795365664112	7.798847241873433e-20	197.52595629200019	                1	84.663428090312209
59	513066	0.99369042655519801	0.0063095734448019424	5.1306599999749327	4.1468026725193745	4.6310051805784659e-06	-0.050493223089793898	13.556675325097249	0.080155968983678466	1.9786606080932649e-19	169.12870615858549	                1	80.076534314011241
60	497530	0.99205671765275716	0.0079432823472428207	4.9752999999808143	4.1467698216844573	4.6294328125466879e-06	-0.050036101710242524	13.534279815352861	0.09347378209666643	5.0240710286896491e-19	144.79225630729599	                1	75.496976988893593
