#filename: a0VsTP_3d.dat
# from RhosAmps.ods Sheet2
#T (K)	P (bar)	a0 (angstrom)
2.0	0.45	2.4188251609
2.0	0.50	2.4185338309
2.0	1.00	2.4163037751
2.0	2.00	2.4153679377
2.0	5.00	2.4366637648
2.0	10.00	2.5319724365
2.0	15.00	2.6776732524
2.0	20.00	2.8574809108
2.0	25.00	3.0617697700
2.0	30.00	3.2819193726
2.0	40.00	3.7073411369
2.0	50.00	3.9079058446
2.0	60.00	3.6364900260

2.1	0.00	2.4188577071
2.1	0.05	2.4184211165
2.1	0.10	2.4179980417
2.1	0.15	2.4175884054
2.1	0.20	2.4171921345
2.1	0.25	2.4168091554
2.1	0.30	2.4164393950
2.1	0.35	2.4160827805
2.1	0.40	2.4157392397
2.1	0.45	2.4154087009
2.1	0.50	2.4150910927
2.1	1.00	2.4126108242
2.1	2.00	2.4112394934
2.1	5.00	2.4316633339
2.1	10.00	2.5262967768
2.1	15.00	2.6704427437
2.1	20.00	2.8439966307
2.1	25.00	3.0306372533
2.1	30.00	3.2114290784
2.1	40.00	3.4436843065
2.1	50.00	3.3006211248
2.1	60.00	2.7673934728

2.2	0.00	2.4149249546
2.2	0.05	2.4144537563
2.2	0.10	2.4139963353
2.2	0.15	2.4135526125
2.2	0.20	2.4131225134
2.2	0.25	2.4127059629
2.2	0.30	2.4123028866
2.2	0.35	2.4119132102
2.2	0.40	2.4115368603
2.2	0.45	2.4111737636
2.2	0.50	2.4108238473
2.2	1.00	2.4080339274
2.2	2.00	2.4061122101
2.2	5.00	2.4253332173
2.2	10.00	2.5186304549
2.2	15.00	2.6599852953
2.2	20.00	2.8246463924
2.2	25.00	2.9885469962
2.2	30.00	3.1221923337
2.2	40.00	3.1574711195
2.2	50.00	2.7634579640
2.2	60.00	2.1351566108

2.3	0.00	2.4101258389
2.3	0.05	2.4096129913
2.3	0.10	2.4091142025
2.3	0.15	2.4086293905
2.3	0.20	2.4081584797
2.3	0.25	2.4077013932
2.3	0.30	2.4072580548
2.3	0.35	2.4068283888
2.3	0.40	2.4064123198
2.3	0.45	2.4060097730
2.3	0.50	2.4056206739
2.3	1.00	2.4024532605
2.3	2.00	2.3998495730
2.3	5.00	2.4174850570
2.3	10.00	2.5086737421
2.3	15.00	2.6458209350
2.3	20.00	2.7986931216
2.3	25.00	2.9346782221
2.3	30.00	3.0145142368
2.3	40.00	2.8613420884
2.3	50.00	2.3034147764
2.3	60.00	1.6703647675

2.4	0.00	2.4043537176
2.4	0.05	2.4037913097
2.4	0.10	2.4032432633
2.4	0.15	2.4027094932
2.4	0.20	2.4021899223
2.4	0.25	2.4016844716
2.4	0.30	2.4011930631
2.4	0.35	2.4007156190
2.4	0.40	2.4002520618
2.4	0.45	2.3998023149
2.4	0.50	2.3993663018
2.4	1.00	2.3957450457
2.4	2.00	2.3923109865
2.4	5.00	2.4079264776
2.4	10.00	2.4961251136
2.4	15.00	2.6274828104
2.4	20.00	2.7654876199
2.4	25.00	2.8685713677
2.4	30.00	2.8896828201
2.4	40.00	2.5670784578
2.4	50.00	1.9177254638
2.4	60.00	1.3242335870

2.5	0.00	2.3974992029

2.5	0.05	2.3968784554
2.5	0.10	2.3962723955
2.5	0.15	2.3956809344
2.5	0.20	2.3951039928
2.5	0.25	2.3945414898
2.5	0.30	2.3939933447
2.5	0.35	2.3934594774
2.5	0.40	2.3929398083
2.5	0.45	2.3924342583
2.5	0.50	2.3919427485
2.5	1.00	2.3877828696
2.5	2.00	2.3833534769
2.5	5.00	2.3964641860
2.5	10.00	2.4806882149
2.5	15.00	2.6045336685
2.5	20.00	2.7245091952
2.5	25.00	2.7901985668
2.5	30.00	2.7499136507
2.5	40.00	2.2843084513
2.5	50.00	1.5985813628
2.5	60.00	1.0629410421
