T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
0.99999	1e-05	17.2001	7.46499e+07	0.652059	0.00378158	0.652059	0.8719	3.88001
0.99999	1e-05	17.4001	9.11776e+07	0.65191	0.00374524	0.65191	0.8717	3.8809
0.99999	1e-05	17.6001	1.11365e+08	0.651764	0.00370961	0.651764	0.871504	3.88177
0.99999	1e-05	17.8001	1.36021e+08	0.65162	0.00367464	0.65162	0.871312	3.88263
0.99999	1e-05	18.0001	1.66136e+08	0.651479	0.00364033	0.651479	0.871124	3.88347
0.99999	1e-05	18.2001	2.02919e+08	0.651341	0.00360666	0.651341	0.870939	3.88429
0.99999	1e-05	18.4001	2.47846e+08	0.651205	0.00357361	0.651205	0.870758	3.8851
0.99999	1e-05	18.6001	3.0272e+08	0.651072	0.00354116	0.651072	0.87058	3.8859
0.99999	1e-05	18.8001	3.69743e+08	0.650942	0.00350929	0.650942	0.870405	3.88668
0.99999	1e-05	19.0001	4.51605e+08	0.650813	0.00347799	0.650813	0.870234	3.88744
0.99999	1e-05	19.2001	5.51592e+08	0.650688	0.00344725	0.650688	0.870065	3.8882
0.99999	1e-05	19.4001	6.73716e+08	0.650564	0.00341705	0.650564	0.8699	3.88893
0.99999	1e-05	19.6001	8.22879e+08	0.650442	0.00338737	0.650442	0.869738	3.88966
0.99999	1e-05	19.8001	1.00507e+09	0.650323	0.0033582	0.650323	0.869578	3.89037
0.99999	1e-05	20.0001	1.22759e+09	0.650206	0.00332954	0.650206	0.869421	3.89108
0.99999	1e-05	20.2002	1.49953e+09	0.65009	0.00330134	0.65009	0.869267	3.89177
0.99999	1e-05	20.4002	1.83153e+09	0.649977	0.00327363	0.649977	0.869115	3.89244
0.99999	1e-05	20.6002	2.23704e+09	0.649866	0.00324639	0.649866	0.868967	3.89311
0.99999	1e-05	20.8002	2.73233e+09	0.649756	0.00321959	0.649756	0.86882	3.89377
0.99999	1e-05	21.0002	3.33727e+09	0.649649	0.00319324	0.649649	0.868676	3.89441
0.99999	1e-05	21.2002	4.07615e+09	0.649543	0.00316731	0.649543	0.868535	3.89505
0.99999	1e-05	21.4002	4.97862e+09	0.649439	0.0031418	0.649439	0.868395	3.89567
0.99999	1e-05	21.6002	6.0809e+09	0.649336	0.00311669	0.649336	0.868259	3.89629
0.99999	1e-05	21.8002	7.42723e+09	0.649235	0.00309199	0.649235	0.868124	3.89689
0.99999	1e-05	22.0002	9.07164e+09	0.649136	0.00306767	0.649136	0.867991	3.89749
0.99999	1e-05	22.2002	1.10801e+10	0.649039	0.00304374	0.649039	0.867861	3.89807
0.99999	1e-05	22.4002	1.35333e+10	0.648943	0.00302017	0.648943	0.867732	3.89865
0.99999	1e-05	22.6002	1.65296e+10	0.648848	0.00299696	0.648848	0.867606	3.89922
0.99999	1e-05	22.8002	2.01893e+10	0.648755	0.00297411	0.648755	0.867481	3.89978
0.99999	1e-05	23.0002	2.46593e+10	0.648663	0.00295161	0.648663	0.867359	3.90033
0.99999	1e-05	23.2002	3.01189e+10	0.648573	0.00292944	0.648573	0.867238	3.90087
0.99999	1e-05	23.4002	3.67873e+10	0.648484	0.0029076	0.648484	0.867119	3.9014
0.99999	1e-05	23.6002	4.49321e+10	0.648397	0.00288609	0.648397	0.867002	3.90193
0.99999	1e-05	23.8002	5.48802e+10	0.648311	0.00286489	0.648311	0.866887	3.90245
0.99999	1e-05	24.0002	6.70309e+10	0.648226	0.002844	0.648226	0.866774	3.90296
0.99999	1e-05	24.2002	8.18717e+10	0.648142	0.00282341	0.648142	0.866662	3.90347
0.99999	1e-05	24.4002	9.99983e+10	0.64806	0.00280311	0.64806	0.866551	3.90396
0.99999	1e-05	24.6002	1.22138e+11	0.647978	0.00278311	0.647978	0.866443	3.90445
0.99999	1e-05	24.8002	1.4918e+11	0.647898	0.00276339	0.647898	0.866336	3.90493
0.99999	1e-05	25.0002	1.82209e+11	0.647819	0.00274394	0.647819	0.86623	3.90541
0.99999	1e-05	25.2002	2.2255e+11	0.647741	0.00272477	0.647741	0.866126	3.90588
0.99999	1e-05	25.4002	2.71824e+11	0.647665	0.00270586	0.647665	0.866023	3.90634
0.99999	1e-05	25.6002	3.32006e+11	0.647589	0.00268721	0.647589	0.865922	3.9068
0.99999	1e-05	25.8002	4.05513e+11	0.647514	0.00266881	0.647514	0.865823	3.90725
0.99999	1e-05	26.0002	4.95295e+11	0.647441	0.00265067	0.647441	0.865724	3.90769
0.99999	1e-05	26.2002	6.04955e+11	0.647368	0.00263277	0.647368	0.865627	3.90813
0.99999	1e-05	26.4002	7.38893e+11	0.647297	0.00261511	0.647297	0.865531	3.90856
0.99999	1e-05	26.6002	9.02486e+11	0.647226	0.00259768	0.647226	0.865437	3.90899
0.99999	1e-05	26.8002	1.1023e+12	0.647157	0.00258048	0.647157	0.865344	3.90941
0.99999	1e-05	27.0002	1.34635e+12	0.647088	0.00256351	0.647088	0.865252	3.90982
0.99999	1e-05	27.2002	1.64444e+12	0.64702	0.00254676	0.64702	0.865161	3.91023
0.99999	1e-05	27.4002	2.00852e+12	0.646953	0.00253022	0.646953	0.865072	3.91064
0.99999	1e-05	27.6002	2.45321e+12	0.646887	0.0025139	0.646887	0.864984	3.91104
0.99999	1e-05	27.8002	2.99636e+12	0.646822	0.00249779	0.646822	0.864896	3.91143
0.99999	1e-05	28.0002	3.65976e+12	0.646758	0.00248188	0.646758	0.86481	3.91182
0.99999	1e-05	28.2002	4.47004e+12	0.646694	0.00246617	0.646694	0.864726	3.91221
0.99999	1e-05	28.4002	5.45972e+12	0.646631	0.00245066	0.646631	0.864642	3.91258
0.99999	1e-05	28.6002	6.66852e+12	0.646569	0.00243534	0.646569	0.864559	3.91296
0.99999	1e-05	28.8002	8.14495e+12	0.646508	0.0024202	0.646508	0.864477	3.91333
0.99999	1e-05	29.0002	9.94827e+12	0.646448	0.00240526	0.646448	0.864397	3.91369
0.99999	1e-05	29.2002	1.21508e+13	0.646388	0.0023905	0.646388	0.864317	3.91406
0.99999	1e-05	29.4002	1.48411e+13	0.64633	0.00237591	0.64633	0.864238	3.91441
0.99999	1e-05	29.6002	1.81269e+13	0.646271	0.00236151	0.646271	0.86416	3.91476
