T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr
1.00126	-0.00125893	5.2	458.619	0.00674742	22.6827	-0.0536305	3.72226e-05	0.000120556	67969.5
1.00126	-0.00125893	5.4	560.158	0.00222927	72.7494	-0.0536337	1.00687e-05	3.26103e-05	251274
1.00126	-0.00125893	5.6	684.179	0.000698109	238.439	-0.0536395	2.58151e-06	8.36095e-06	980046
1.00126	-0.00125893	5.8	835.658	0.000213488	788.039	-0.0536498	6.46347e-07	2.09338e-06	3.91431e+06
1.00126	-0.00125893	6	1020.67	6.46659e-05	2612.29	-0.0536686	1.60291e-07	5.19147e-07	1.57838e+07
1.00126	-0.00125893	6.2	1246.66	1.95166e-05	8668.54	-0.0537029	3.96077e-08	1.2828e-07	6.38765e+07
1.00126	-0.00125893	6.4	1522.67	5.8825e-06	28775.5	-0.0537652	9.77411e-09	3.16562e-08	2.58847e+08
1.00126	-0.00125893	6.6	1859.79	1.77221e-06	95532.7	-0.0538789	2.41086e-09	7.80824e-09	1.04942e+09
1.00126	-0.00125893	6.8	2271.55	5.33824e-07	317174	-0.054086	5.9456e-10	1.92565e-09	4.25525e+09
1.00126	-0.00125893	7	2774.48	1.60789e-07	1.05305e+06	-0.0544633	1.46621e-10	4.74873e-10	1.72554e+10
1.00126	-0.00125893	7.2	3388.76	4.84293e-08	3.49623e+06	-0.0551507	3.61566e-11	1.17103e-10	6.99734e+10
1.00126	-0.00125893	7.4	4139.04	1.45867e-08	1.16079e+07	-0.0564034	8.91613e-12	2.88774e-11	2.83755e+11
1.00126	-0.00125893	7.6	5055.44	4.39342e-09	3.85396e+07	-0.0586859	2.19869e-12	7.12108e-12	1.15068e+12
1.00126	-0.00125893	7.8	6174.72	1.32327e-09	1.27956e+08	-0.0628449	5.42191e-13	1.75604e-12	4.66625e+12
1.00126	-0.00125893	8	7541.82	3.98562e-10	4.24828e+08	-0.0704231	1.33703e-13	4.33034e-13	1.89226e+13
1.00126	-0.00125893	8.2	9211.6	1.20045e-10	1.41048e+09	-0.0842314	3.29707e-14	1.06785e-13	7.67348e+13
1.00126	-0.00125893	8.4	11251.1	3.61568e-11	4.68296e+09	-0.109392	8.13047e-15	2.63328e-14	3.11175e+14
1.00126	-0.00125893	8.6	13742.1	1.08902e-11	1.5548e+10	-0.155237	2.00495e-15	6.49359e-15	1.26188e+15
1.00126	-0.00125893	8.8	16784.6	3.28007e-12	5.16211e+10	-0.238773	4.94415e-16	1.6013e-15	5.11716e+15
1.00126	-0.00125893	9	20500.8	9.87937e-13	1.71388e+11	-0.390985	1.21921e-16	3.94876e-16	2.07511e+16
1.00126	-0.00125893	9.2	25039.7	2.97561e-13	5.69028e+11	-0.668333	3.00654e-17	9.73751e-17	8.41499e+16
1.00126	-0.00125893	9.4	30583.6	8.96236e-14	1.88924e+12	-1.17369	7.41403e-18	2.40124e-17	3.41245e+17
1.00126	-0.00125893	9.6	37354.9	2.69941e-14	6.2725e+12	-2.09452	1.82828e-18	5.92139e-18	1.38382e+18
1.00126	-0.00125893	9.8	45625.4	8.13047e-15	2.08254e+13	-3.77238	4.50848e-19	1.4602e-18	5.61165e+18
1.00126	-0.00125893	10	55727	2.44885e-15	6.91428e+13	-6.82964	1.11178e-19	3.6008e-19	2.27564e+19
1.00126	-0.00125893	10.2001	68071.9	7.37138e-16	2.297e+14	-12.404	2.73969e-20	8.87325e-20	9.23462e+19
1.00126	-0.00125893	10.4001	83143.2	2.22022e-16	7.62631e+14	-22.5575	6.75599e-21	2.18812e-20	3.74482e+20
1.00126	-0.00125893	10.6001	101551	6.68716e-17	2.53202e+15	-41.0584	1.66601e-21	5.39583e-21	1.5186e+21
1.00126	-0.00125893	10.8001	124035	2.01413e-17	8.40662e+15	-74.7692	4.10832e-22	1.3306e-21	6.15823e+21
1.00126	-0.00125893	11.0001	151497	6.06646e-18	2.7911e+16	-136.194	1.0131e-22	3.28121e-22	2.49729e+22
1.00126	-0.00125893	11.2001	185039	1.82718e-18	9.26676e+16	-248.118	2.49827e-23	8.09136e-23	1.0127e+23
1.00126	-0.00125893	11.4001	226007	5.50336e-19	3.07667e+17	-452.056	6.16067e-24	1.9953e-23	4.1067e+23
1.00126	-0.00125893	11.6001	276045	1.65758e-19	1.02149e+18	-823.656	1.5192e-24	4.92036e-24	1.66535e+24
1.00126	-0.00125893	11.8001	337162	4.99254e-20	3.39147e+18	-1500.76	3.74631e-25	1.21335e-24	6.75332e+24
1.00126	-0.00125893	12.0001	411811	1.50372e-20	1.12601e+19	-2734.51	9.23828e-26	2.99207e-25	2.73861e+25
1.00126	-0.00125893	12.2001	502987	4.52913e-21	3.73848e+19	-4982.56	2.27813e-26	7.37836e-26	1.11056e+26
1.00126	-0.00125893	12.4001	614350	1.36415e-21	1.24122e+20	-9078.77	5.6178e-27	1.81948e-26	4.50354e+26
1.00126	-0.00125893	12.6001	750368	4.10873e-22	4.12099e+20	-16542.6	1.38533e-27	4.48679e-27	1.82628e+27
1.00126	-0.00125893	12.8001	916502	1.23753e-22	1.36822e+21	-30142.5	3.41619e-28	1.10643e-27	7.40591e+27
1.00126	-0.00125893	13.0001	1.11942e+06	3.72736e-23	4.54264e+21	-54923.1	8.42422e-29	2.72842e-28	3.00325e+28
1.00126	-0.00125893	13.2001	1.36726e+06	1.12266e-23	1.50821e+22	-100076	2.07739e-29	6.7282e-29	1.21788e+29
1.00126	-0.00125893	13.4001	1.66998e+06	3.38138e-24	5.00743e+22	-182351	5.12277e-30	1.65915e-29	4.93873e+29
1.00126	-0.00125893	13.6001	2.03971e+06	1.01845e-24	1.66253e+23	-332265	1.26326e-30	4.09142e-30	2.00275e+30
1.00126	-0.00125893	13.8001	2.49131e+06	3.06752e-25	5.51978e+23	-605426	3.11516e-31	1.00893e-30	8.12157e+30
1.00126	-0.00125893	14.0001	3.04289e+06	9.2392e-26	1.83263e+24	-1.10316e+06	7.68189e-32	2.488e-31	3.29346e+31
1.00126	-0.00125893	14.2001	3.7166e+06	2.78279e-26	6.08455e+24	-2.01009e+06	1.89433e-32	6.13532e-32	1.33556e+32
1.00126	-0.00125893	14.4001	4.53946e+06	8.38161e-27	2.02014e+25	-3.66262e+06	4.67136e-33	1.51295e-32	5.41598e+32
1.00126	-0.00125893	14.6001	5.54451e+06	2.52449e-27	6.70711e+25	-6.67372e+06	1.15194e-33	3.73089e-33	2.19629e+33
1.00126	-0.00125893	14.8001	6.77208e+06	7.60363e-28	2.22684e+26	-1.21603e+07	2.84066e-34	9.20027e-34	8.90638e+33
1.00126	-0.00125893	15.0001	8.27144e+06	2.29017e-28	7.39337e+26	-2.21575e+07	7.00498e-35	2.26876e-34	3.61172e+34
1.00126	-0.00125893	15.2001	1.01028e+07	6.89786e-29	2.45468e+27	-4.03737e+07	1.72741e-35	5.59469e-35	1.46462e+35
1.00126	-0.00125893	15.4001	1.23395e+07	2.07759e-29	8.14984e+27	-7.35656e+07	4.25973e-36	1.37963e-35	5.93934e+35
1.00126	-0.00125893	15.6001	1.50715e+07	6.25759e-30	2.70584e+28	-1.34045e+08	1.05044e-36	3.40213e-36	2.40852e+36
1.00126	-0.00125893	15.8001	1.84084e+07	1.88475e-30	8.98371e+28	-2.44246e+08	2.59035e-37	8.38956e-37	9.76704e+36
1.00126	-0.00125893	16.0001	2.24841e+07	5.67676e-31	2.9827e+29	-4.45046e+08	6.38771e-38	2.06884e-37	3.96073e+37
1.00126	-0.00125893	16.2001	2.74622e+07	1.70981e-31	9.9029e+29	-8.10927e+08	1.57519e-38	5.1017e-38	1.60615e+38
1.00126	-0.00125893	16.4001	3.35423e+07	5.14984e-32	3.28788e+30	-1.4776e+09	3.88437e-39	1.25806e-38	6.51328e+38
1.00126	-0.00125893	16.6001	4.09687e+07	1.5511e-32	1.09161e+31	-2.69237e+09	9.57874e-40	3.10234e-39	2.64126e+39
1.00126	-0.00125893	16.8001	5.00393e+07	4.67183e-33	3.62429e+31	-4.90582e+09	2.36209e-40	7.65029e-40	1.07109e+40
1.00126	-0.00125893	17.0001	6.11181e+07	1.40713e-33	1.20331e+32	-8.93899e+09	5.82484e-41	1.88654e-40	4.34347e+40
1.00126	-0.00125893	17.2001	7.46499e+07	4.23819e-34	3.99512e+32	-1.62879e+10	1.43639e-41	4.65214e-41	1.76136e+41
1.00126	-0.00125893	17.4001	9.11776e+07	1.27652e-34	1.32643e+33	-2.96785e+10	3.54209e-42	1.1472e-41	7.14268e+41
1.00126	-0.00125893	17.6001	1.11365e+08	3.8448e-35	4.40389e+33	-5.40777e+10	8.73468e-43	2.82897e-42	2.8965e+42
