l	K	y

# DK0 = 2.5	(data set 1)
0	5	2.66237e-24

# DK0 = 0.0390625	(data set 2)
5.7609	1.49679	0.000380802
5.7942	1.54634	0.000319886
5.8275	1.59768	0.0002681
5.8608	1.65088	0.000224239
5.8941	1.70597	0.000187223
5.9274	1.76301	0.00015609
5.9607	1.82207	0.000129985
5.994	1.88319	0.000108161
6.0273	1.94645	8.9964e-05
6.0606	2.01191	7.48281e-05
6.0939	2.07964	6.22654e-05
6.1272	2.1497	5.18581e-05
6.1605	2.22217	4.32504e-05
6.1938	2.29713	3.61407e-05
6.2271	2.37466	3.02748e-05
6.2604	2.45484	2.54393e-05
6.2937	2.53776	2.14559e-05
6.327	2.62351	1.81761e-05
6.3603	2.71218	1.54768e-05
6.3936	2.80386	1.32562e-05
6.4269	2.89866	1.14305e-05
6.4602	2.99668	9.93111e-06
6.4935	3.09803	8.7018e-06
6.5268	3.20282	7.69694e-06
6.5601	3.31116	6.87967e-06
6.5934	3.42317	6.2205e-06
6.6267	3.53898	5.6962e-06
6.66	3.65872	5.28896e-06
6.6933	3.7825	4.98574e-06
6.7266	3.91048	4.778e-06
6.7599	4.04279	4.66157e-06
6.7932	4.17957	4.63697e-06
6.8265	4.32097	4.71013e-06
6.8598	4.46715	4.89379e-06
6.8931	4.61827	5.20986e-06
6.9264	4.77448	5.69338e-06
6.9597	4.93595	6.39901e-06

# DK0 = 9.53674e-06	(data set 4)
0	0.296459	0.0400139
0.0333	0.301414	0.0412476
0.0666	0.306213	0.0424431
0.0999	0.310848	0.0435981
0.1332	0.315315	0.0447109
0.1665	0.319608	0.04578
0.1998	0.323724	0.0468045
0.2331	0.327662	0.0477837
0.2664	0.331421	0.0487175
0.2997	0.335001	0.0496059
0.333	0.338405	0.0504493
0.3663	0.341633	0.0512484
0.3996	0.34469	0.052004
0.4329	0.347579	0.0527172
0.4662	0.350304	0.0533892
0.4995	0.352872	0.0540214
0.5328	0.355287	0.0546152
0.5661	0.357554	0.0551723
0.5994	0.359681	0.0556941
0.6327	0.361673	0.0561822
0.666	0.363536	0.0566385
0.6993	0.365277	0.0570643
0.7326	0.366902	0.0574615
0.7659	0.368417	0.0578316
0.7992	0.369828	0.058176
0.8325	0.371141	0.0584965
0.8658	0.372362	0.0587943
0.8991	0.373497	0.059071
0.9324	0.37455	0.0593278
0.9657	0.375527	0.0595661
0.999	0.376433	0.0597871
1.0323	0.377273	0.0599919
1.0656	0.37805	0.0601817
1.0989	0.37877	0.0603575
1.1322	0.379436	0.0605202
1.1655	0.380051	0.0606709
1.1988	0.38062	0.0608104
1.2321	0.381145	0.0609394
1.2654	0.38163	0.0610588
1.2987	0.382078	0.0611693
1.332	0.382491	0.0612715
1.3653	0.382872	0.061366
1.3986	0.383222	0.0614535
1.4319	0.383546	0.0615345
1.4652	0.383843	0.0616094
1.4985	0.384117	0.0616788
1.5318	0.384369	0.0617431
1.5651	0.384601	0.0618027
1.5984	0.384814	0.0618579
1.6317	0.385009	0.0619092
1.665	0.385188	0.0619568
1.6983	0.385353	0.062001
1.7316	0.385503	0.0620421
1.7649	0.385641	0.0620804
1.7982	0.385767	0.0621161
1.8315	0.385882	0.0621494
1.8648	0.385986	0.0621806
1.8981	0.386081	0.0622098
1.9314	0.386168	0.0622373
1.9647	0.386246	0.0622631
1.998	0.386317	0.0622874
2.0313	0.38638	0.0623104
2.0646	0.386437	0.0623323
2.0979	0.386488	0.062353
2.1312	0.386533	0.0623728
2.1645	0.386573	0.0623918
2.1978	0.386607	0.0624101
2.2311	0.386637	0.0624277
2.2644	0.386663	0.0624447
2.2977	0.386684	0.0624614
2.331	0.386701	0.0624776
2.3643	0.386714	0.0624935
2.3976	0.386724	0.0625092
2.4309	0.38673	0.0625248
2.4642	0.386733	0.0625403
