r0    rhos0    gamma0 
0   1   0.00042243 
0.024   0.998726   0.000361611
0.056   0.99749   0.000309752
0.088   0.996289   0.000265521
0.12   0.995121   0.000227787
0.152   0.993985   0.000195588
0.184   0.992878   0.000168106
0.216   0.991799   0.000144642
0.248   0.990745   0.000124604
0.28   0.989715   0.000107488
0.312   0.988707   9.2862e-05
0.344   0.987718   8.03607e-05
0.376   0.986747   6.96713e-05
0.408   0.985792   6.05278e-05
0.44   0.984849   5.27031e-05
0.472   0.983917   4.60036e-05
0.504   0.982993   4.02642e-05
0.536   0.982075   3.5344e-05
0.568   0.98116   3.11228e-05
0.6   0.980244   2.74979e-05
0.632   0.979326   2.43816e-05
0.664   0.9784   2.16993e-05
0.696   0.977464   1.93869e-05
0.728   0.976514   1.73899e-05
0.76   0.975547   1.56616e-05
0.792   0.974556   1.41623e-05
0.872   0.971953   1.12041e-05
0.952   0.969101   9.06745e-06
1.032   0.965915   7.4762e-06
1.112   0.962299   6.24552e-06
1.192   0.958157   5.25292e-06
1.272   0.9534   4.41892e-06
1.352   0.947962   3.69396e-06
1.432   0.94181   3.04934e-06
1.512   0.934968   2.47077e-06
1.592   0.927529   1.9535e-06
1.672   0.919668   1.49839e-06
1.752   0.911635   1.10858e-06
1.832   0.903738   7.86661e-07
1.912   0.896306   5.32573e-07
1.992   0.889636   3.42386e-07
2.072   0.883951   2.08294e-07
2.152   0.879357   1.19699e-07
2.232   0.875842   6.50046e-08
2.312   0.873291   3.34554e-08
2.392   0.871529   1.63969e-08
2.472   0.870365   7.69843e-09
2.552   0.869626   3.4828e-09
2.632   0.869172   1.52561e-09
2.712   0.868902   6.4936e-10
2.792   0.868746   2.69197e-10
2.872   0.868657   1.08853e-10
2.952   0.868608   4.29723e-11
3.032   0.868582   1.6571e-11
3.112   0.868568   6.24373e-12
3.192   0.868561   2.299e-12
3.272   0.868558   8.27267e-13
3.352   0.868556   2.90905e-13
3.432   0.868555   9.99584e-14
3.512   0.868555   3.35587e-14
3.592   0.868554   1.10066e-14
3.672   0.868554   3.52622e-15
3.752   0.868554   1.10334e-15
3.832   0.868554   3.37125e-16
3.912   0.868554   1.00577e-16
3.992   0.868554   2.92937e-17
4.072   0.868554   8.32837e-18
4.152   0.868554   2.31103e-18
4.232   0.868554   6.25836e-19
4.312   0.868554   1.65378e-19
4.392   0.868554   4.264e-20
4.472   0.868554   1.07259e-20
4.552   0.868554   2.63206e-21
4.632   0.868554   6.30033e-22
4.712   0.868554   1.47099e-22
4.792   0.868554   3.34966e-23
4.872   0.868554   7.439e-24
4.952   0.868554   1.61111e-24
5.032   0.868554   3.40261e-25
5.112   0.868554   7.00734e-26
5.192   0.868554   1.40712e-26
5.272   0.868554   2.75506e-27
5.352   0.868554   5.25941e-28
5.432   0.868554   9.78893e-29
5.512   0.868554   1.77629e-29
5.592   0.868554   3.14242e-30
5.672   0.868554   5.4197e-31
5.752   0.868554   9.1125e-32
5.832   0.868554   1.49363e-32
5.912   0.868554   2.38665e-33
5.992   0.868554   3.71761e-34
6.072   0.868554   5.64501e-35
6.152   0.868554   8.35577e-36
6.232   0.868554   1.20566e-36
6.312   0.868554   1.69581e-37
6.392   0.868554   2.32507e-38
6.472   0.868554   3.10744e-39
6.552   0.868554   4.0483e-40
6.632   0.868554   5.14096e-41
6.712   0.868554   6.36377e-42
6.792   0.868554   7.67859e-43
6.872   0.868554   9.03118e-44
6.952   0.868554   1.03538e-44
7.032   0.868554   1.15705e-45
7.112   0.868554   1.26036e-46
7.192   0.868554   1.33822e-47
7.272   0.868554   1.385e-48
7.352   0.868554   1.39721e-49
7.432   0.868554   1.37392e-50
7.512   0.868554   1.3169e-51
7.592   0.868554   1.23035e-52
7.672   0.868554   1.12045e-53
7.752   0.868554   9.94589e-55
7.832   0.868554   8.60561e-56
7.912   0.868554   7.25781e-57
7.992   0.868554   7.41958e-58
r4       rhos4       gamma4  
0   1   0.00042243 
0.024   0.998727   0.000361181
0.056   0.997493   0.000308956
0.088   0.996295   0.000264413
0.12   0.995133   0.000226414
0.152   0.994005   0.000193989
0.184   0.992908   0.000166316
0.216   0.991841   0.000142691
0.248   0.990803   0.000122519
0.28   0.989791   0.00010529
0.312   0.988805   9.05722e-05
0.344   0.987842   7.79958e-05
0.376   0.986902   6.72468e-05
0.408   0.985981   5.8057e-05
0.44   0.985079   5.01981e-05
0.472   0.984193   4.34751e-05
0.504   0.983322   3.77219e-05
0.536   0.982465   3.27965e-05
0.568   0.981618   2.8578e-05
0.6   0.98078   2.49631e-05
0.632   0.979948   2.18636e-05
